
========== Supervised Training Begin ==========

** Initial learning rate: 0.001000000 **

Time 3.49918, Epoch 0, Batch 0, Loss = 2.29123, Training Accuracy = 0.1300
Time 0.35929, Epoch 0, Batch 1, Loss = 2.28511, Training Accuracy = 0.1300
Time 0.34367, Epoch 0, Batch 2, Loss = 2.30338, Training Accuracy = 0.0400
Time 0.34367, Epoch 0, Batch 3, Loss = 2.28813, Training Accuracy = 0.1500
Time 0.34367, Epoch 0, Batch 4, Loss = 2.35689, Training Accuracy = 0.1600
Time 0.34367, Epoch 0, Batch 5, Loss = 2.29718, Training Accuracy = 0.1200
Time 0.34367, Epoch 0, Batch 6, Loss = 2.30388, Training Accuracy = 0.0500
Time 0.34367, Epoch 0, Batch 7, Loss = 2.29339, Training Accuracy = 0.0800
Time 0.34367, Epoch 0, Batch 8, Loss = 2.29514, Training Accuracy = 0.1500
Time 0.34367, Epoch 0, Batch 9, Loss = 2.29278, Training Accuracy = 0.1300
Time 0.34367, Epoch 0, Batch 10, Loss = 2.29803, Training Accuracy = 0.1100
Time 0.34367, Epoch 0, Batch 11, Loss = 2.27677, Training Accuracy = 0.1400
Time 0.34367, Epoch 0, Batch 12, Loss = 2.33013, Training Accuracy = 0.1000
Time 0.34367, Epoch 0, Batch 13, Loss = 2.28992, Training Accuracy = 0.0800
Time 0.34367, Epoch 0, Batch 14, Loss = 2.28706, Training Accuracy = 0.1000
Time 0.34367, Epoch 0, Batch 15, Loss = 2.26146, Training Accuracy = 0.1300
Time 0.34367, Epoch 0, Batch 16, Loss = 2.29505, Training Accuracy = 0.1100
Time 0.34367, Epoch 0, Batch 17, Loss = 2.29656, Training Accuracy = 0.1500
Time 0.34367, Epoch 0, Batch 18, Loss = 2.29134, Training Accuracy = 0.0900
Time 0.34367, Epoch 0, Batch 19, Loss = 2.29100, Training Accuracy = 0.1600
Time 0.34367, Epoch 0, Batch 20, Loss = 2.27312, Training Accuracy = 0.1200
Time 0.34367, Epoch 0, Batch 21, Loss = 2.43340, Training Accuracy = 0.2100
Time 0.34367, Epoch 0, Batch 22, Loss = 2.28952, Training Accuracy = 0.1500
Time 0.34367, Epoch 0, Batch 23, Loss = 2.29600, Training Accuracy = 0.1200
Time 0.34367, Epoch 0, Batch 24, Loss = 2.29072, Training Accuracy = 0.1000
Time 0.34367, Epoch 0, Batch 25, Loss = 2.27851, Training Accuracy = 0.1600
Time 0.34367, Epoch 0, Batch 26, Loss = 2.30263, Training Accuracy = 0.0900
Time 0.34367, Epoch 0, Batch 27, Loss = 2.30028, Training Accuracy = 0.0700
Time 0.34367, Epoch 0, Batch 28, Loss = 2.30061, Training Accuracy = 0.1700
Time 0.34367, Epoch 0, Batch 29, Loss = 2.29880, Training Accuracy = 0.1000
Time 0.34367, Epoch 0, Batch 30, Loss = 2.29866, Training Accuracy = 0.1300
Time 0.34367, Epoch 0, Batch 31, Loss = 2.29796, Training Accuracy = 0.1000
Time 0.34367, Epoch 0, Batch 32, Loss = 2.30320, Training Accuracy = 0.1200
Time 0.34367, Epoch 0, Batch 33, Loss = 2.29373, Training Accuracy = 0.0900
Time 0.34367, Epoch 0, Batch 34, Loss = 2.29299, Training Accuracy = 0.0900
Time 0.34367, Epoch 0, Batch 35, Loss = 2.30303, Training Accuracy = 0.1600
Time 0.34367, Epoch 0, Batch 36, Loss = 2.29734, Training Accuracy = 0.1900
Time 0.34367, Epoch 0, Batch 37, Loss = 2.26426, Training Accuracy = 0.0900
Time 0.34367, Epoch 0, Batch 38, Loss = 2.24106, Training Accuracy = 0.1600
Time 0.35929, Epoch 0, Batch 39, Loss = 2.24052, Training Accuracy = 0.1200

Time 20.62018, Epoch 0, Average Loss = 2.29552, Training Average Accuracy = 0.1212

Time 0.37491, Epoch 1, Batch 0, Loss = 2.20739, Training Accuracy = 0.2300
Time 0.34367, Epoch 1, Batch 1, Loss = 2.12384, Training Accuracy = 0.2200
Time 0.34367, Epoch 1, Batch 2, Loss = 2.26685, Training Accuracy = 0.1000
Time 0.35929, Epoch 1, Batch 3, Loss = 2.17034, Training Accuracy = 0.2000
Time 0.34367, Epoch 1, Batch 4, Loss = 2.22831, Training Accuracy = 0.0800
Time 0.34367, Epoch 1, Batch 5, Loss = 2.27523, Training Accuracy = 0.0800
Time 0.34367, Epoch 1, Batch 6, Loss = 2.29006, Training Accuracy = 0.0700
Time 0.34367, Epoch 1, Batch 7, Loss = 2.24199, Training Accuracy = 0.1300
Time 0.35929, Epoch 1, Batch 8, Loss = 2.25965, Training Accuracy = 0.1000
Time 0.34367, Epoch 1, Batch 9, Loss = 2.23847, Training Accuracy = 0.1400
Time 0.34367, Epoch 1, Batch 10, Loss = 2.24799, Training Accuracy = 0.1200
Time 0.35929, Epoch 1, Batch 11, Loss = 2.27554, Training Accuracy = 0.0900
Time 0.34367, Epoch 1, Batch 12, Loss = 2.24292, Training Accuracy = 0.1400
Time 0.34367, Epoch 1, Batch 13, Loss = 2.21804, Training Accuracy = 0.1700
Time 0.34367, Epoch 1, Batch 14, Loss = 2.23250, Training Accuracy = 0.0800
Time 0.34367, Epoch 1, Batch 15, Loss = 2.15879, Training Accuracy = 0.1800
Time 0.35929, Epoch 1, Batch 16, Loss = 2.14459, Training Accuracy = 0.1500
Time 0.34367, Epoch 1, Batch 17, Loss = 2.15923, Training Accuracy = 0.1600
Time 0.35929, Epoch 1, Batch 18, Loss = 2.21584, Training Accuracy = 0.1500
Time 0.34367, Epoch 1, Batch 19, Loss = 2.23263, Training Accuracy = 0.1700
Time 0.34367, Epoch 1, Batch 20, Loss = 2.22707, Training Accuracy = 0.1300
Time 0.34367, Epoch 1, Batch 21, Loss = 2.22192, Training Accuracy = 0.1100
Time 0.35929, Epoch 1, Batch 22, Loss = 2.21624, Training Accuracy = 0.1500
Time 0.34367, Epoch 1, Batch 23, Loss = 2.22874, Training Accuracy = 0.1700
Time 0.35929, Epoch 1, Batch 24, Loss = 2.19857, Training Accuracy = 0.1300
Time 0.34367, Epoch 1, Batch 25, Loss = 2.23107, Training Accuracy = 0.1000
Time 0.34367, Epoch 1, Batch 26, Loss = 2.14784, Training Accuracy = 0.1600
Time 0.34367, Epoch 1, Batch 27, Loss = 2.23696, Training Accuracy = 0.1300
Time 0.34367, Epoch 1, Batch 28, Loss = 2.19512, Training Accuracy = 0.1600
Time 0.35929, Epoch 1, Batch 29, Loss = 2.10633, Training Accuracy = 0.2200
Time 0.34367, Epoch 1, Batch 30, Loss = 2.12924, Training Accuracy = 0.2000
Time 0.34367, Epoch 1, Batch 31, Loss = 2.23858, Training Accuracy = 0.1600
Time 0.34367, Epoch 1, Batch 32, Loss = 2.11066, Training Accuracy = 0.1300
Time 0.33938, Epoch 1, Batch 33, Loss = 2.01261, Training Accuracy = 0.2400
Time 0.34367, Epoch 1, Batch 34, Loss = 2.26458, Training Accuracy = 0.1700
Time 0.34367, Epoch 1, Batch 35, Loss = 2.17778, Training Accuracy = 0.2100
Time 0.35929, Epoch 1, Batch 36, Loss = 2.23045, Training Accuracy = 0.1400
Time 0.35929, Epoch 1, Batch 37, Loss = 2.17420, Training Accuracy = 0.2700
Time 0.34367, Epoch 1, Batch 38, Loss = 2.20257, Training Accuracy = 0.2000
Time 0.35929, Epoch 1, Batch 39, Loss = 2.19627, Training Accuracy = 0.1500

Time 14.07055, Epoch 1, Average Loss = 2.20443, Training Average Accuracy = 0.1523

Time 0.39053, Epoch 2, Batch 0, Loss = 2.22196, Training Accuracy = 0.1400
Time 0.34367, Epoch 2, Batch 1, Loss = 2.19578, Training Accuracy = 0.1700
Time 0.35929, Epoch 2, Batch 2, Loss = 2.21050, Training Accuracy = 0.1100
Time 0.34367, Epoch 2, Batch 3, Loss = 2.13152, Training Accuracy = 0.1800
Time 0.34367, Epoch 2, Batch 4, Loss = 2.23214, Training Accuracy = 0.1400
Time 0.34367, Epoch 2, Batch 5, Loss = 2.22405, Training Accuracy = 0.1200
Time 0.34367, Epoch 2, Batch 6, Loss = 2.20430, Training Accuracy = 0.1400
